Artist,Song,Samples
Del Shannon,Runaway,No samples found
LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,No samples found
The Flamingos,I Only Have Eyes for You,No samples found
Mariah Carey,All I Want for Christmas Is You,No samples found
Naughty by Nature,O.P.P.,"[Synthetic Substitution by Melvin Bliss],[ABC by The Jackson 5]"
The Beatles,Yesterday,No samples found
Vanessa Carlton,A Thousand Miles,No samples found
Fetty Wap,Trap Queen,No samples found
Shania Twain,Man! I Feel Like a Woman!,No samples found
BLACKstreet feat. Dr. Dre,No Diggity,No samples found
The Killers,Mr. Brightside,No samples found
Justin Bieber feat. Ludacris,Baby,No samples found
Janet Jackson,Miss You Much,No samples found
Sinéad O’Connor,Nothing Compares 2 U,No samples found
One Direction,What Makes You Beautiful,[Summer Nights by John Travolta & Olivia Newton-John]
Destiny’s Child,Say My Name,No samples found
Luis Fonsi & Daddy Yankee,Despacito,No samples found
Stevie Wonder,You Are the Sunshine of My Life,No samples found
The Human League,Don’t You Want Me,No samples found
Drake,Hotline Bling,[Why Can't We Live Together by Timmy Thomas]
Aaliyah,Are You That Somebody?,"[Delirious by Prince],[People Say by The Meters]"
The Weeknd,Blinding Lights,[Pulsar City Alarm by Adams & Fleisner]
Sade,Smooth Operator,No samples found
Fine Young Cannibals,She Drives Me Crazy,No samples found
Mark Ronson feat. Bruno Mars,Uptown Funk!,No samples found
Miley Cyrus,Party in the U.S.A.,No samples found
Gladys Knight & The Pips,Midnight Train to Georgia,No samples found
Amy Winehouse,Rehab,No samples found
Olivia Rodrigo,Drivers License,No samples found
Van Morrison,Brown Eyed Girl,No samples found
Natasha Bedingfield,Unwritten,No samples found
The Notorious B.I.G. feat. Mase & Diddy,Mo Money Mo Problems,No samples found
Deee-Lite,Groove Is in the Heart,"[Bring Down The Birds by Herbie Hancock],[Get Up by Vernon Burch],[Jam on the Groove by Ralph MacDonald],[Introduction by Bel-Sha-Zaar (Ft. Tommy Genapopoluis & The Grecian Knights)],[God Make Me Funky by The Headhunters (band)],[Uptight (Everything's Alright) by Billy Preston],[Hateful Head Helen (A Capella) by Hateful Head Helen (Ft. Sweet Pussy Pauline)]"
Paul McCartney & Wings,Silly Love Songs,No samples found
Ariana Grande,"Thank U, Next",No samples found
The Monkees,I’m a Believer,No samples found
Four Seasons,December 1963 (Oh What a Night),No samples found
Cyndi Lauper,Girls Just Want to Have Fun,No samples found
Ben E. King,Stand by Me,No samples found
Hanson,MMMBop,No samples found
Whitney Houston,I Will Always Love You,No samples found
Roy Orbison and the Candy Men,"Oh, Pretty Woman",No samples found
50 Cent,In Da Club,No samples found
*NSYNC,Bye Bye Bye,No samples found
Bell Biv DeVoe,Poison,"[Doin It With the B by The Boys (R&B Group) (Ft. Bilal Abdulsamad)],[Poison by Kool G Rap & DJ Polo]"
Rick Springfield,Jessie’s Girl,No samples found
Elton John,Your Song,No samples found
Britney Spears,Toxic,[Tere Mere Beech Mein by Lata Mangeshkar & S.P. Balasubrahmanyam]
The Mamas & The Papas,California Dreamin',No samples found
Journey,Don’t Stop Believin',No samples found
Rihanna feat. Jay-Z,Umbrella,No samples found
Gotye feat. Kimbra,Somebody That I Used to Know,No samples found
Oasis,Wonderwall,[Supersonic by Oasis]
Blondie,Heart of Glass,No samples found
Soft Cell,Tainted Love,No samples found
Dr. Dre feat. Snoop Dogg,Nuthin’ But a ‘G’ Thang,No samples found
Otis Redding,(Sittin’ On) The Dock of the Bay,No samples found
Donna Summer,Last Dance,No samples found
Taylor Swift,You Belong With Me,No samples found
The B-52s,Love Shack,No samples found
Looking Glass,Brandy (You’re a Fine Girl),No samples found
George Michael,Freedom ’90,"[Funky Drummer by James Brown],[Think by Aretha Franklin]"
Katy Perry,Teenage Dream,No samples found
Marvin Gaye & Tammi Terrell,Ain’t No Mountain High Enough,No samples found
Spice Girls,Wannabe,"[Hot Pants - I'm Coming, Coming, I'm Coming by Bobby Byrd],[Hot Pants (Bonus Beats) by Bobby Byrd],[Od dechy do dechy by Lipali]"
Gloria Gaynor,I Will Survive,No samples found
Al Green,Let’s Stay Together,"[Movin' Two Fast by Wrekless (Ft. Bee-Gee, Hitman & Jet 2)]"
The Shirelles,Will You Love Me Tomorrow,No samples found
The Bee Gees,Stayin’ Alive,No samples found
Usher feat. Lil Jon & Ludacris,Yeah!,No samples found
Adele,Rolling in the Deep,No samples found
The Supremes,Where Did Our Love Go,No samples found
Tears for Fears,Everybody Wants to Rule the World,No samples found
The Isley Brothers,Shout,No samples found
a-ha,Take on Me,No samples found
The Beach Boys,Good Vibrations,No samples found
Lady Gaga,Bad Romance,[ROMANCE RUIM by EmanU (Ft. Big Rush)]
Jackson 5,I Want You Back,No samples found
Missy Elliott,Work It,"[Heart of Glass by Blondie],[Peter Piper by Run–DMC],[Take Me to the Mardi Gras by Bob James],[Request Line by Rock Master Scott & the Dynamic Three]"
Aretha Franklin,Respect,No samples found
TLC,No Scrubs,No samples found
The Ronettes,Be My Baby,No samples found
Beyoncé feat. Jay-Z,Crazy in Love,No samples found
Fleetwood Mac,Dreams,No samples found
"Earth, Wind & Fire",September,No samples found
Mariah Carey,Fantasy,[Genius of Love by Tom Tom Club]
OutKast,Hey Ya!,No samples found
Nicki Minaj,Super Bass,No samples found
Britney Spears,…Baby One More Time,No samples found
Prince and the Revolution,Kiss,No samples found
The Beatles,I Want to Hold Your Hand,No samples found
2Pac feat. Dr. Dre,California Love,No samples found
Carly Rae Jepsen,Call Me Maybe,No samples found
Michael Jackson,Billie Jean,No samples found
Madonna,Like a Prayer,No samples found
Kelly Clarkson,Since U Been Gone,No samples found
Backstreet Boys,I Want It That Way,No samples found
The Temptations,My Girl,No samples found
ABBA,Dancing Queen,No samples found
Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),No samples found
Van Halen,Jump,No samples found
Mariah Carey,We Belong Together,No samples found
? and the Mysterians,96 Tears,No samples found
Post Malone,Circles,No samples found
Duran Duran,Hungry Like the Wolf,No samples found
Nelly,Hot in Herre,[THE ROOF IS ON FIRE by Trueno]
Boston,More Than a Feeling,No samples found
Barry Manilow,Copacabana,No samples found
No Doubt,Just a Girl,No samples found
Dolly Parton,9 to 5,No samples found
Smokey Robinson & The Miracles,The Tears of a Clown,No samples found
Pet Shop Boys,West End Girls,No samples found
Tommy James and the Shondells,Crimson and Clover,No samples found
Juice WRLD,Lucid Dreams,[Shape of My Heart by Sting]
Madonna,Vogue,"[Lucky Star by Madonna],[Miss You Much (Shep's House Mix) by Janet Jackson],[Love is the Message by MFSB]"
Boyz II Men,I’ll Make Love to You,No samples found
Elton John,Bennie and the Jets,No samples found
Juvenile feat. Mannie Fresh & Lil Wayne,Back That Azz Up,"[Underground by UGK],[Movin' by Brass Construction]"
Sam Cooke,Wonderful World,No samples found
Raspberries,Go All the Way,No samples found
Ricky Martin,Livin’ La Vida Loca,"[Hawaii Five-O by The Ventures],[Hawaii Five-O (radio spot) by The Ventures],[Hawaii Five-O by Mort Stevens and His Orchestra],[You Can Count on Me (Theme from ""Hawaii Five-O"") by Sammy Davis Jr.],[マジンガーZ (Mazinger Z) by 水木一郎 (Ichiro Mizuki)]"
Bill Withers,Ain’t No Sunshine,No samples found
Steve Lacy,Bad Habit,No samples found
Daft Punk,One More Time,[More Spell on You by Eddie Johns]
Sia,Chandelier,No samples found
Run-D.M.C.,It’s Tricky,"[Mickey by Toni Basil],[My Sharona by The Knack]"
The Jackson 5,ABC,No samples found
Doja Cat,Say So,[Move by Kim Petras (Ft. Theron Thomas)]
Dexy’s Midnight Runners,Come on Eileen,No samples found
Carpenters,(They Long to Be) Close to You,No samples found
Robin S.,Show Me Love,No samples found
The Kingsmen,Louie Louie,No samples found
*NSYNC,Tearin’ Up My Heart,No samples found
Beyoncé,Love on Top,No samples found
Coolio,Gangsta’s Paradise,[Pastime Paradise by Stevie Wonder & Stevie Wonder]
Johnny Nash,I Can See Clearly Now,No samples found
Don Henley,The Boys of Summer,No samples found
Icona Pop feat. Charli XCX,I Love It,No samples found
The Kinks,You Really Got Me,No samples found
Taylor Swift,Blank Space,No samples found
Tina Turner,What’s Love Got to Do With It,No samples found
Cher,Believe,"[Revolution 909 by Daft Punk],[Epilogue by Electric Light Orchestra],[Prologue by Electric Light Orchestra]"
