Artist,Song,Samples
Del Shannon,Runaway,No samples found.
LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,"[Hustlin' by Rick Ross], [Shooting Star (Party Rock Mix) by David Rush feat. LMFAO, Pitbull and Kevin Rudolf]"
The Flamingos,I Only Have Eyes for You,No samples found.
Mariah Carey,All I Want for Christmas Is You,No samples found.
Naughty by Nature,O.P.P.,"[ABC by The Jackson 5], [Synthetic Substitution by Melvin Bliss], [La Di Da Di by Doug E. Fresh and Slick Rick]"
The Beatles,Yesterday,No samples found.
Vanessa Carlton,A Thousand Miles,No samples found.
Fetty Wap,Trap Queen,No samples found.
Shania Twain,Man! I Feel Like a Woman!,No samples found.
BLACKstreet feat. Dr. Dre,No Diggity,[Grandma's Hands by Bill Withers]
The Killers,Mr. Brightside,No samples found.
Justin Bieber feat. Ludacris,Baby,No samples found.
Janet Jackson,Miss You Much,No samples found.
Sinéad O’Connor,Nothing Compares 2 U,No samples found.
One Direction,What Makes You Beautiful,No samples found.
Destiny’s Child,Say My Name,No samples found.
Luis Fonsi & Daddy Yankee,Despacito,No samples found.
Stevie Wonder,You Are the Sunshine of My Life,No samples found.
The Human League,Don’t You Want Me,No samples found.
Drake,Hotline Bling,[Why Can't We Live Together by Timmy Thomas]
Aaliyah,Are You That Somebody?,"[People Say by The Meters], [Happy Baby by Jac Holzman]"
The Weeknd,Blinding Lights,No samples found.
Sade,Smooth Operator,No samples found.
Fine Young Cannibals,She Drives Me Crazy,No samples found.
Mark Ronson feat. Bruno Mars,Uptown Funk!,No samples found.
Miley Cyrus,Party in the U.S.A.,No samples found.
Gladys Knight & The Pips,Midnight Train to Georgia,No samples found.
Amy Winehouse,Rehab,No samples found.
Olivia Rodrigo,Drivers License,No samples found.
Van Morrison,Brown Eyed Girl,No samples found.
Natasha Bedingfield,Unwritten,No samples found.
The Notorious B.I.G. feat. Mase & Diddy,Mo Money Mo Problems,"[I'm Coming Out by Diana Ross], [Only You (Bad Boy Remix) by 112 feat. The Notorious B.I.G. and Mase]"
