Artist,Song
Del Shannon,Runaway
LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem
The Flamingos,I Only Have Eyes for You
Mariah Carey,All I Want for Christmas Is You
Naughty by Nature,O.P.P.
The Beatles,Yesterday
Vanessa Carlton,A Thousand Miles
Fetty Wap,Trap Queen
Shania Twain,Man! I Feel Like a Woman!
BLACKstreet feat. Dr. Dre,No Diggity
The Killers,Mr. Brightside
Justin Bieber feat. Ludacris,Baby
Janet Jackson,Miss You Much
Sinéad O’Connor,Nothing Compares 2 U
One Direction,What Makes You Beautiful
Destiny’s Child,Say My Name
Luis Fonsi & Daddy Yankee,Despacito
Stevie Wonder,You Are the Sunshine of My Life
The Human League,Don’t You Want Me
Drake,Hotline Bling
Aaliyah,Are You That Somebody?
The Weeknd,Blinding Lights
Sade,Smooth Operator
Fine Young Cannibals,She Drives Me Crazy
Mark Ronson feat. Bruno Mars,Uptown Funk!
Miley Cyrus,Party in the U.S.A.
Gladys Knight & The Pips,Midnight Train to Georgia
Amy Winehouse,Rehab
Olivia Rodrigo,Drivers License
Van Morrison,Brown Eyed Girl
Natasha Bedingfield,Unwritten
The Notorious B.I.G. feat. Mase & Diddy,Mo Money Mo Problems
Deee-Lite,Groove Is in the Heart
Paul McCartney & Wings,Silly Love Songs
Ariana Grande,"Thank U, Next"
The Monkees,I’m a Believer
Four Seasons,December 1963 (Oh What a Night)
Cyndi Lauper,Girls Just Want to Have Fun
Ben E. King,Stand by Me
Hanson,MMMBop
Whitney Houston,I Will Always Love You
Roy Orbison and the Candy Men,"Oh, Pretty Woman"
50 Cent,In Da Club
*NSYNC,Bye Bye Bye
Bell Biv DeVoe,Poison
Rick Springfield,Jessie’s Girl
Elton John,Your Song
Britney Spears,Toxic
The Mamas & The Papas,California Dreamin'
Journey,Don’t Stop Believin'
Rihanna feat. Jay-Z,Umbrella
Gotye feat. Kimbra,Somebody That I Used to Know
Oasis,Wonderwall
Blondie,Heart of Glass
Soft Cell,Tainted Love
Dr. Dre feat. Snoop Dogg,Nuthin’ But a ‘G’ Thang
Otis Redding,(Sittin’ On) The Dock of the Bay
Donna Summer,Last Dance
Taylor Swift,You Belong With Me
The B-52s,Love Shack
Looking Glass,Brandy (You’re a Fine Girl)
George Michael,Freedom ’90
Katy Perry,Teenage Dream
Marvin Gaye & Tammi Terrell,Ain’t No Mountain High Enough
Spice Girls,Wannabe
Gloria Gaynor,I Will Survive
Al Green,Let’s Stay Together
The Shirelles,Will You Love Me Tomorrow
The Bee Gees,Stayin’ Alive
Usher feat. Lil Jon & Ludacris,Yeah!
Adele,Rolling in the Deep
The Supremes,Where Did Our Love Go
Tears for Fears,Everybody Wants to Rule the World
The Isley Brothers,Shout
a-ha,Take on Me
The Beach Boys,Good Vibrations
Lady Gaga,Bad Romance
Jackson 5,I Want You Back
Missy Elliott,Work It
Aretha Franklin,Respect
TLC,No Scrubs
The Ronettes,Be My Baby
Beyoncé feat. Jay-Z,Crazy in Love
Fleetwood Mac,Dreams
"Earth, Wind & Fire",September
Mariah Carey,Fantasy
OutKast,Hey Ya!
Nicki Minaj,Super Bass
