Artist,Song,URL
Del Shannon,Runaway,https://www.whosampled.com/Del-Shannon/Runaway/
LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,https://www.whosampled.com/LMFAO/Party-Rock-Anthem/
The Flamingos,I Only Have Eyes for You,https://www.whosampled.com/The-Flamingos/I-Only-Have-Eyes-for-You/
Mariah Carey,All I Want for Christmas Is You,https://www.whosampled.com/Mariah-Carey/All-I-Want-for-Christmas-Is-You/
Naughty by Nature,O.P.P.,https://www.whosampled.com/Naughty-by-Nature/O.P.P./
The Beatles,Yesterday,https://www.whosampled.com/The-Beatles/Yesterday/
Vanessa Carlton,A Thousand Miles,https://www.whosampled.com/Vanessa-Carlton/A-Thousand-Miles/
Fetty Wap,Trap Queen,https://www.whosampled.com/Fetty-Wap/Trap-Queen/
Shania Twain,Man! I Feel Like a Woman!,https://www.whosampled.com/Shania-Twain/Man%21-I-Feel-Like-a-Woman%21/
BLACKstreet feat. Dr. Dre,No Diggity,https://www.whosampled.com/BLACKstreet/No-Diggity/
The Killers,Mr. Brightside,https://www.whosampled.com/The-Killers/Mr.-Brightside/
Justin Bieber feat. Ludacris,Baby,https://www.whosampled.com/Justin-Bieber/Baby/
Janet Jackson,Miss You Much,https://www.whosampled.com/Janet-Jackson/Miss-You-Much/
Sinéad O’Connor,Nothing Compares 2 U,https://www.whosampled.com/Sin%C3%A9ad-O%27Connor/Nothing-Compares-2-U/
One Direction,What Makes You Beautiful,https://www.whosampled.com/One-Direction/What-Makes-You-Beautiful/
Destiny’s Child,Say My Name,https://www.whosampled.com/Destiny%27s-Child/Say-My-Name/
Luis Fonsi & Daddy Yankee,Despacito,https://www.whosampled.com/Luis-Fonsi/Despacito/
Stevie Wonder,You Are the Sunshine of My Life,https://www.whosampled.com/Stevie-Wonder/You-Are-the-Sunshine-of-My-Life/
The Human League,Don’t You Want Me,https://www.whosampled.com/The-Human-League/Don%27t-You-Want-Me/
Drake,Hotline Bling,https://www.whosampled.com/Drake/Hotline-Bling/
Aaliyah,Are You That Somebody?,https://www.whosampled.com/Aaliyah/Are-You-That-Somebody%3F/
The Weeknd,Blinding Lights,https://www.whosampled.com/The-Weeknd/Blinding-Lights/
Sade,Smooth Operator,https://www.whosampled.com/Sade/Smooth-Operator/
Fine Young Cannibals,She Drives Me Crazy,https://www.whosampled.com/Fine-Young-Cannibals/She-Drives-Me-Crazy/
Mark Ronson feat. Bruno Mars,Uptown Funk!,https://www.whosampled.com/Mark-Ronson/Uptown-Funk%21/
Miley Cyrus,Party in the U.S.A.,https://www.whosampled.com/Miley-Cyrus/Party-in-the-U.S.A./
Gladys Knight & The Pips,Midnight Train to Georgia,https://www.whosampled.com/Gladys-Knight/Midnight-Train-to-Georgia/
Amy Winehouse,Rehab,https://www.whosampled.com/Amy-Winehouse/Rehab/
Olivia Rodrigo,Drivers License,https://www.whosampled.com/Olivia-Rodrigo/Drivers-License/
Van Morrison,Brown Eyed Girl,https://www.whosampled.com/Van-Morrison/Brown-Eyed-Girl/
Natasha Bedingfield,Unwritten,https://www.whosampled.com/Natasha-Bedingfield/Unwritten/
The Notorious B.I.G. feat. Mase & Diddy,Mo Money Mo Problems,https://www.whosampled.com/The-Notorious-B.I.G./Mo-Money-Mo-Problems/
Deee-Lite,Groove Is in the Heart,https://www.whosampled.com/Deee-Lite/Groove-Is-in-the-Heart/
Paul McCartney & Wings,Silly Love Songs,https://www.whosampled.com/Paul-McCartney/Silly-Love-Songs/
Ariana Grande,"Thank U, Next",https://www.whosampled.com/Ariana-Grande/Thank-U%2C-Next/
The Monkees,I’m a Believer,https://www.whosampled.com/The-Monkees/I%27m-a-Believer/
Four Seasons,December 1963 (Oh What a Night),https://www.whosampled.com/Four-Seasons/December-1963-%28Oh-What-a-Night%29/
Cyndi Lauper,Girls Just Want to Have Fun,https://www.whosampled.com/Cyndi-Lauper/Girls-Just-Want-to-Have-Fun/
Ben E. King,Stand by Me,https://www.whosampled.com/Ben-E.-King/Stand-by-Me/
Hanson,MMMBop,https://www.whosampled.com/Hanson/MMMBop/
Whitney Houston,I Will Always Love You,https://www.whosampled.com/Whitney-Houston/I-Will-Always-Love-You/
Roy Orbison and the Candy Men,"Oh, Pretty Woman",https://www.whosampled.com/Roy-Orbison-and-the-Candy-Men/Oh%2C-Pretty-Woman/
50 Cent,In Da Club,https://www.whosampled.com/50-Cent/In-Da-Club/
*NSYNC,Bye Bye Bye,https://www.whosampled.com/%2ANSYNC/Bye-Bye-Bye/
Bell Biv DeVoe,Poison,https://www.whosampled.com/Bell-Biv-DeVoe/Poison/
Rick Springfield,Jessie’s Girl,https://www.whosampled.com/Rick-Springfield/Jessie%27s-Girl/
Elton John,Your Song,https://www.whosampled.com/Elton-John/Your-Song/
Britney Spears,Toxic,https://www.whosampled.com/Britney-Spears/Toxic/
The Mamas & The Papas,California Dreamin',https://www.whosampled.com/The-Mamas/California-Dreamin%27/
Journey,Don’t Stop Believin',https://www.whosampled.com/Journey/Don%27t-Stop-Believin%27/
Rihanna feat. Jay-Z,Umbrella,https://www.whosampled.com/Rihanna/Umbrella/
Gotye feat. Kimbra,Somebody That I Used to Know,https://www.whosampled.com/Gotye/Somebody-That-I-Used-to-Know/
Oasis,Wonderwall,https://www.whosampled.com/Oasis/Wonderwall/
Blondie,Heart of Glass,https://www.whosampled.com/Blondie/Heart-of-Glass/
Soft Cell,Tainted Love,https://www.whosampled.com/Soft-Cell/Tainted-Love/
Dr. Dre feat. Snoop Dogg,Nuthin’ But a ‘G’ Thang,https://www.whosampled.com/Dr.-Dre/Nuthin%27-But-a-%E2%80%98G%27-Thang/
Otis Redding,(Sittin’ On) The Dock of the Bay,https://www.whosampled.com/Otis-Redding/%28Sittin%27-On%29-The-Dock-of-the-Bay/
Donna Summer,Last Dance,https://www.whosampled.com/Donna-Summer/Last-Dance/
Taylor Swift,You Belong With Me,https://www.whosampled.com/Taylor-Swift/You-Belong-With-Me/
The B-52s,Love Shack,https://www.whosampled.com/The-B-52s/Love-Shack/
Looking Glass,Brandy (You’re a Fine Girl),https://www.whosampled.com/Looking-Glass/Brandy-%28You%27re-a-Fine-Girl%29/
George Michael,Freedom ’90,https://www.whosampled.com/George-Michael/Freedom-%2790/
Katy Perry,Teenage Dream,https://www.whosampled.com/Katy-Perry/Teenage-Dream/
Marvin Gaye & Tammi Terrell,Ain’t No Mountain High Enough,https://www.whosampled.com/Marvin-Gaye/Ain%27t-No-Mountain-High-Enough/
Spice Girls,Wannabe,https://www.whosampled.com/Spice-Girls/Wannabe/
Gloria Gaynor,I Will Survive,https://www.whosampled.com/Gloria-Gaynor/I-Will-Survive/
Al Green,Let’s Stay Together,https://www.whosampled.com/Al-Green/Let%27s-Stay-Together/
The Shirelles,Will You Love Me Tomorrow,https://www.whosampled.com/The-Shirelles/Will-You-Love-Me-Tomorrow/
